ID	Precision	Recall	F1
1	1.0	1.0	1.0
2	0	0	0
3	1.0	1.0	1.0
4	0.5	1.0	0.6666667
5	1.0	1.0	1.0
6	1.0	1.0	1.0
7	1.0	1.0	1.0
8	0.5	1.0	0.6666667
9	0	0	0
10	1.0	1.0	1.0
11	0	0	0
12	1.0	1.0	1.0
13	1.0	1.0	1.0
14	1.0	1.0	1.0
15	0	0	0
16	0	0	0
17	1.0	1.0	1.0
18	1.0	1.0	1.0
19	1.0	1.0	1.0
20	0	0	0
21	1.0	1.0	1.0
22	0	0	0
23	1.0	1.0	1.0
24	0.6666667	0.6666667	0.6666667
25	1.0	1.0	1.0
26	0	0	0
27	0	0	0
28	0	0	0
29	0.5	1.0	0.6666667
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	1.0	1.0	1.0
36	0	0	0
37	1.0	1.0	1.0
38	0	0	0
39	0	0	0
40	1.0	1.0	1.0
41	1.0	1.0	1.0
42	0	0	0
43	1.0	1.0	1.0
44	0	0	0
45	0	0	0
46	1.0	1.0	1.0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	1.0	1.0	1.0
53	0	0	0
54	1.0	1.0	1.0
55	1.0	1.0	1.0
56	1.0	1.0	1.0
57	1.0	1.0	1.0
58	0	0	0
59	1.0	1.0	1.0
60	0	0	0
61	0	0	0
62	0	0	0
63	1.0	1.0	1.0
64	1.0	1.0	1.0
65	0	0	0
66	1.0	1.0	1.0
67	0	0	0
68	1.0	1.0	1.0
69	0	0	0
70	0	0	0
71	1.0	1.0	1.0
72	0.033333335	1.0	0.064516135
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0.1	1.0	0.18181819
80	0	0	0
81	1.0	1.0	1.0
82	1.0	1.0	1.0
83	0.25	1.0	0.4
84	0	0	0
85	0	0	0
86	1.0	1.0	1.0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	1.0	1.0	1.0
92	0	0	0
93	0	0	0
94	0	0	0
95	1.0	1.0	1.0
96	1.0	0.125	0.22222222
97	0	0	0
98	1.0	1.0	1.0
99	0.0011933175	1.0	0.0023837904
100	1.0	1.0	1.0
101	1.0	1.0	1.0
102	0	0	0
103	0	0	0
104	0	0	0
105	1.0	1.0	1.0
106	1.0	1.0	1.0
107	1.0	1.0	1.0
108	1.0	1.0	1.0
109	0	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	0	0
115	0	0	0
116	0.18181819	1.0	0.3076923
117	0	0	0
118	0	0	0
119	0	0	0
120	0	0	0
121	1.0	1.0	1.0
122	0	0	0
123	1.0	1.0	1.0
124	1.0	1.0	1.0
125	0	0	0
126	0	0	0
127	0	0	0
128	1.0	1.0	1.0
129	1.0	1.0	1.0
130	0	0	0
131	0	0	0
132	0	0	0
133	0	0	0
134	1.0	1.0	1.0
135	0	0	0
136	1.0	0.024390243	0.04761905
137	1.0	1.0	1.0
138	1.0	1.0	1.0
139	0	0	0
140	1.0	1.0	1.0
141	1.0	1.0	1.0
142	1.0	1.0	1.0
143	0	0	0
144	0	0	0
145	1.0	1.0	1.0
146	0	0	0
147	1.0	1.0	1.0
148	1.0	1.0	1.0
149	0	0	0
150	0.5	1.0	0.6666667
151	0	0	0
152	0	0	0
153	0	0	0
154	0	0	0
155	0	0	0
156	0	0	0
157	0	0	0
158	0	0	0
159	0	0	0
160	1.0	1.0	1.0
161	1.0	1.0	1.0
162	1.0	1.0	1.0
163	0	0	0
164	0.125	1.0	0.22222222
165	0	0	0
166	0	0	0
167	0	0	0
168	0	0	0
169	0	0	0
170	0.125	1.0	0.22222222
171	1.0	1.0	1.0
172	1.0	1.0	1.0
173	0	0	0
174	0	0	0
175	0	0	0
176	0.008403362	1.0	0.016666666
177	0.065789476	1.0	0.1234568
178	0	0	0
179	1.0	1.0	1.0
180	0	0	0
181	0	0	0
182	0	0	0
183	0	0	0
184	0	0	0
185	0	0	0
186	1.0	0.125	0.22222222
187	1.0	0.008403362	0.016666666
188	0	0	0
189	0	0	0
190	1.0	1.0	1.0
191	0	0	0
192	0	0	0
193	0	0	0
194	0	0	0
195	0	0	0
196	0	0	0
197	0	0	0
198	0	0	0
199	0	0	0
200	0	0	0
201	1.0	1.0	1.0
202	0	0	0
203	1.0	1.0	1.0
204	0	0	0
205	0	0	0
206	0	0	0
207	0	0	0
208	1.0	1.0	1.0
209	0	0	0
210	1.0	1.0	1.0
211	0	0	0
212	0	0	0
213	1.0	1.0	1.0
214	0	0	0
215	1.0	1.0	1.0
216	1.0	1.0	1.0
217	0	0	0
218	1.0	1.0	1.0
219	1.0	1.0	1.0
